# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
601866.46741,1283224.73240,77220.60337,   0.00000,   0.00000,   0.00000,1120030.39539,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473520105.43114,   0.00000
1212817.71168,2557364.68793,149898.81830,   0.00000,   0.00001,   0.00000,2230881.60315,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472409254.22338,   0.00000
1823768.95595,3831504.64346,218034.64480,   0.00000,   0.00001,   0.00000,3340868.02092,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471299267.80561,   0.00000
2443804.97710,5096559.82212,286170.47130,   0.00000,   0.00002,   0.00000,4442722.94242,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470197412.88411,   0.00000
3063840.99824,6361615.00078,354306.29779,   0.00000,   0.00002,   0.00000,5544627.04645,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469095508.78008,   0.00000
3677063.43673,7610771.81993,417899.73586,   0.00000,   0.00003,   0.00001,6631988.61550,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468008147.21103,   0.00000
4290285.87522,8859928.63908,481493.17393,   0.00000,   0.00003,   0.00001,7719376.18688,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466920759.63965,   0.00000
4912593.09057,10100000.68136,540544.22356,   0.00000,   0.00004,   0.00001,8797894.93276,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465842240.89377,   0.00000
5528086.72328,11324174.36412,599595.27319,   0.00000,   0.00004,   0.00001,9862768.03791,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-464777367.78862,   0.00000
6159478.71550,12555161.62954,654103.93439,   0.00000,   0.00005,   0.00001,10932591.94494,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463707543.88159,   0.00000
6784057.12508,13770250.53543,708612.59559,   0.00000,   0.00005,   0.00001,11988805.61431,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462651330.21222,   0.00000
7408635.53465,14985339.44133,763121.25679,   0.00000,   0.00005,   0.00001,13045091.89431,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461595043.93222,   0.00000
8042298.72109,16191343.57036,813087.52955,   0.00001,   0.00006,   0.00001,14092760.11420,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460547375.71233,   0.00000
8675961.90753,17397347.69939,858511.41389,   0.00001,   0.00006,   0.00001,15139762.93097,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459500372.89556,   0.00000
9302811.51132,18587453.46891,908477.68665,   0.00001,   0.00007,   0.00001,16173934.19978,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458466201.62675,   0.00000
9945559.47463,19784372.82107,953901.57099,   0.00001,   0.00007,   0.00001,17213328.82530,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-457426807.00123,   0.00000
10581493.85528,20965393.81372,994783.06688,   0.00001,   0.00007,   0.00001,18238403.00604,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456401732.82049,   0.00000
11210614.65329,22130516.44685,1035664.56278,   0.00001,   0.00008,   0.00001,19249902.60767,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455390233.21886,   0.00000
11855633.81081,23302452.66263,1076546.05868,   0.00001,   0.00008,   0.00001,20267507.53639,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-454372628.29013,   0.00000
12493839.38569,24458490.51890,1112885.16615,   0.00001,   0.00009,   0.00001,21270845.51865,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453369290.30788,   0.00000
13132044.96056,25614528.37516,1149224.27362,   0.00001,   0.00009,   0.00001,22274327.81826,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-452365808.00827,   0.00000
13779335.31230,26761481.45456,1181020.99265,   0.00001,   0.00009,   0.00002,23269636.36653,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451370499.46000,   0.00000
